attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules
power_factor_value,,,,,,,Power Factor Value,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
dimming_status,,,,,,,Dimming Status,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
length_inches,,,,,,,Length Inches,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
width_inches,,,,,,,Width Inches,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
height_inches,,,,,,,Height Inches,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
weight_in_lbs,,,,,,,Weight In Lbs,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
lamps,,,,,,,Lamps,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
successor_item,,,,,,,Successor Item,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
successor_base_item,,,,,,,Successor Base Item,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
successor_item_sku_family,,,,,,,Successor Item Sku Family,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_item,,,,,,,Substitute Item,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_base_item,,,,,,,Substitute Base Item,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_item_product_type,,,,,,,Substitute Item Product Type,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_item_overall_status,,,,,,,Substitute Item Overall Status,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_item_specific_status,,,,,,,Substitute Item Specific Status,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_item_sku_family,,,,,,,Substitute Item Sku Family,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
substitute_item_item_lead_style,,,,,,,Substitute Item Item Lead Style,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
competitor_cross,,,,,,,Competitor Cross,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
